name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
amsterdam,2023-01-01,14,10.3,12,14,10.3,12,8.5,79.2,7.659,100,33.33,rain,0,0,70.6,45.2,213.9,1010.4,99.7,24,19.3,1.7,1,10,2023-01-01T08:50:32,2023-01-01T16:37:21,0.31,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,2023-01-02,11.1,4.8,8.7,11.1,2.4,6.7,7.4,91.7,5.107,100,45.83,rain,0,0,36.6,27.3,238.1,1014.7,79.2,26.2,10.5,0.8,1,10,2023-01-02T08:50:24,2023-01-02T16:38:26,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,2023-01-03,9.4,1.6,5.8,5.3,-1.4,2.6,4.4,91.4,0.289,100,12.5,rain,0,0,49.4,37.5,182.5,1023.7,81.4,20.3,7.2,0.5,0,10,2023-01-03T08:50:12,2023-01-03T16:39:35,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,2023-01-04,12.6,8.9,11.3,12.6,4.7,10.8,9.6,89.3,11.053,100,54.17,rain,0,0,73.6,50.2,230.9,1012.8,100,12.1,6,0.5,0,10,2023-01-04T08:49:57,2023-01-04T16:40:46,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,2023-01-05,11.2,9.8,10.4,11.2,7.6,10.2,8.6,88.7,0.83,100,29.17,rain,0,0,53.8,38.6,247.1,1017.6,94.4,10.3,22.3,1.9,3,10,2023-01-05T08:49:38,2023-01-05T16:41:59,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,2023-01-06,10.9,8.4,9.9,10.9,6.1,8.6,7.8,87,0.941,100,29.17,rain,0,0,54.9,37.5,219.9,1015.4,89,27.9,21.8,1.7,1,10,2023-01-06T08:49:16,2023-01-06T16:43:16,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,2023-01-07,11.2,9.1,10.3,11.2,5.3,9.5,7.8,84.6,0.93,100,33.33,rain,0,0,49.8,37.2,181.2,1008,100,35,23.5,2.1,2,10,2023-01-07T08:48:51,2023-01-07T16:44:34,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06257099999"
amsterdam,2023-01-08,10.1,6.7,8.4,10.1,3.2,5.2,5.5,82.1,2.346,100,16.67,rain,0,0,51.6,31,187.2,997.9,66,38.3,25.1,2,1,10,2023-01-08T08:48:22,2023-01-08T16:45:55,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,2023-01-09,8.4,5.7,7.1,5.1,1.7,3.7,5.1,87.3,2.343,100,54.17,rain,0,0,41.6,30.3,242.2,997.5,87,25.9,12.8,1,1,10,2023-01-09T08:47:50,2023-01-09T16:47:19,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,2023-01-10,10,5.9,7.2,10,1.3,3.6,5.4,88.6,7.184,100,50,rain,0,0,54,38.9,199.9,1011.4,94.5,13.1,10.2,0.9,1,10,2023-01-10T08:47:14,2023-01-10T16:48:44,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,2023-01-11,11.5,8.7,9.9,11.5,4.3,7.4,7.6,86.1,2.938,100,33.33,rain,0,0,57.5,42.5,228.5,1007.1,79.3,14.6,23.6,2,2,10,2023-01-11T08:46:36,2023-01-11T16:50:12,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,2023-01-12,11.5,9.1,10.5,11.5,4.5,9.3,9,90.8,16.571,100,95.83,rain,0,0,74,48.7,230.8,1002.7,96.4,10.2,7.7,0.6,1,10,2023-01-12T08:45:54,2023-01-12T16:51:42,0.68,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,2023-01-13,9.5,8.4,9,5.6,3.7,4.8,4.9,75.5,1.145,100,37.5,rain,0,0,71.1,45.6,244,1004.8,89,17.5,11.5,1,1,10,2023-01-13T08:45:09,2023-01-13T16:53:13,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
