name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Amsterdam,Netherlands",2018-01-01,8.2,6.1,7.1,4.9,1.9,3.3,4.5,83.6,15.1,100,50,rain,,,69.9,47.5,220.7,997.6,47.2,12.2,20.8,1.8,2,,2018-01-01T08:50:27,2018-01-01T16:37:34,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
"Amsterdam,Netherlands",2018-01-02,8,5,6.4,4.1,1.2,2.8,4.5,87.8,1.26,100,58.33,rain,,,53.9,32.6,231,1005.6,50.5,11.6,18.3,1.6,1,,2018-01-02T08:50:18,2018-01-02T16:38:40,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E5029,06249099999,06240099999,C0449,06269099999,06257099999"
"Amsterdam,Netherlands",2018-01-03,10.7,6.3,8.7,10.7,0.5,4.3,5.2,78.9,13.04,100,58.33,rain,,,92.7,63.7,245.4,989.6,58.6,10.1,5.8,0.4,0,,2018-01-03T08:50:06,2018-01-03T16:39:49,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
"Amsterdam,Netherlands",2018-01-04,10.4,7,8.2,10.4,2.1,4.7,5.3,82.1,0.49,100,33.33,rain,,,75.7,53.5,230.3,993.2,50.6,10,14.7,1.2,1,,2018-01-04T08:49:50,2018-01-04T16:41:00,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,E5029,06249099999,06240099999,C0449,06269099999,06257099999"
"Amsterdam,Netherlands",2018-01-05,7.9,4.4,6.4,4.9,1.2,2.8,4.2,86.2,4.07,100,25,rain,,,72,40.3,216,994.9,37.9,13.4,14,1.2,1,,2018-01-05T08:49:30,2018-01-05T16:42:14,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,E5029,06249099999,06240099999,C0449,06269099999,06257099999"
"Amsterdam,Netherlands",2018-01-06,6.9,3.2,5,6.2,0.1,2.3,3.2,88.5,0.04,100,8.33,rain,,,33.2,24,134.9,1008,43.2,14.2,21,1.7,1,,2018-01-06T08:49:08,2018-01-06T16:43:31,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06260099999,D3248,E5029,06249099999,06240099999,C0449,06269099999,06257099999"
"Amsterdam,Netherlands",2018-01-07,3.7,-0.2,1.7,0.3,-6.8,-4,-1.7,78.2,0,0,0,,,,45.1,32.9,54.4,1026.2,21.8,17.6,42.1,3.6,2,,2018-01-07T08:48:41,2018-01-07T16:44:50,0.68,Partially cloudy,Partly cloudy throughout the day.,wind,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
"Amsterdam,Netherlands",2018-01-08,3.1,-1,0.8,-1.8,-7.5,-4.9,-3,75.9,0,0,0,,,,43.5,29.1,75.1,1024.9,13,17.3,42.3,3.6,2,,2018-01-08T08:48:12,2018-01-08T16:46:12,0.73,Clear,Clear conditions throughout the day.,clear-day,"06260099999,D3248,E5029,06249099999,06240099999,C0449,06269099999,06257099999"
"Amsterdam,Netherlands",2018-01-09,5.7,0,2.4,2.7,-4.6,-1.5,0.5,86.9,0,0,0,,,,41.8,23.3,111.2,1011.6,38.5,11.1,34.3,2.8,1,,2018-01-09T08:47:39,2018-01-09T16:47:36,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
"Amsterdam,Netherlands",2018-01-10,7.1,5.7,6.6,4.7,3.1,4.1,6.1,96.4,0.5,100,45.83,rain,,,21.1,15.8,155.2,1008,72.3,7.8,6.2,0.6,0,,2018-01-10T08:47:03,2018-01-10T16:49:02,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
